term_a,term_b,pmi,co_occurrence_count
apply,spatial,0.07044455360481389,7
apply,within,0.6805683983530851,12
applying,benefit,0.9768342144962576,9
applying,community,0.3616485754060242,6
applying,density,0.21136637235668645,9
applying,distance,0.058545479959429436,5
applying,higher,0.29373736978981363,5
applying,lower,0.8860798512277935,5
applying,mobility,0.26511064836337683,6
applying,model,0.27411758292016175,13
applying,need,0.09358333670030285,8
applying,policy,0.27411758292016175,13
applying,public,0.35130722161129163,13
applying,show,0.18029273573202842,7
applying,spatial,0.3179202055785545,13
applying,walkable,0.3616485754060242,6
applying,walking,0.27745648418567603,6
applying,within,0.021322769468821463,9
associated,benefit,0.5587449531596965,19
associated,broader,0.6439397992229288,5
associated,community,0.4003177165651784,20
associated,concentration,0.9548787338389769,8
associated,critical,0.16820549526820816,9
associated,density,0.21613396184015873,29
associated,disparity,0.297663562505095,5
associated,distance,0.27953617791253815,20
associated,dynamic,0.3223561750954664,7
associated,environment,0.23029803067751867,35
associated,equitable,0.06642280095826565,6
associated,equity,0.2500355135158402,5
associated,facility,0.38689469623303746,14
associated,focused,0.7101217061042296,7
associated,general,0.3223561750954664,7
associated,higher,0.8512003043641354,28
associated,identify,0.3758448600464525,12
associated,increasingly,0.9495453878636142,11
associated,infrastructure,0.15360669584705514,17
associated,intervention,0.21855938141382275,8
associated,link,0.961436134385136,9
associated,lower,0.9445516196831271,17
associated,model,0.1547824749360673,37
associated,objective,0.2670934964204167,11
associated,offer,0.14003461830151173,10
associated,older,0.9465104841684602,7
associated,population,0.14855849788441156,27
associated,resident,0.38002181694527537,29
associated,risk,0.8854502274072139,9
associated,show,0.013517902676373554,19
associated,site,0.09921262378125656,5
associated,station,0.22704599529114167,5
associated,strongly,0.9465104841684602,7
associated,threshold,0.4003177165651784,5
associated,vehicle,0.41588223310628974,7
associated,walkable,0.4491078807346104,21
associated,walking,0.5784898898123212,26
associated,within,0.15530209043230034,33
associated,zone,0.28153418057521107,6
benefit,broader,0.3890475495941386,5
benefit,community,0.36856901825059807,25
benefit,consideration,0.17282444112450263,5
benefit,critical,0.018673761297244455,10
benefit,density,0.0596817850246214,32
benefit,develop,0.013396704196400787,9
benefit,ensuring,0.22998285496445137,5
benefit,environment,0.20424735347757603,44
benefit,equity,0.17746482068100478,6
benefit,facility,0.20099531809119883,15
benefit,focus,0.02664193094642131,18
benefit,general,0.7606111060266216,14
benefit,inclusive,0.2836870339363123,9
benefit,increasingly,0.2426680144917668,7
benefit,infrastructure,0.24355493250999496,24
benefit,intervention,0.28212086290356725,11
benefit,lower,0.0536706033343406,9
benefit,model,0.05017242835661515,43
benefit,need,0.02793308671004097,31
benefit,objective,0.012201246791626708,11
benefit,policy,0.002544379367360428,41
benefit,priority,0.5374675547124118,5
benefit,public,0.23736296226207382,48
benefit,reduced,0.537467554712412,7
benefit,remains,0.17282444112450263,5
benefit,resident,0.5190338530235739,43
benefit,risk,0.3792435494975179,7
benefit,simple,0.7606111060266216,5
benefit,site,0.3143240033982021,8
benefit,speed,1.0482931784784026,7
benefit,strongly,0.5374675547124117,6
benefit,targeted,0.6208491636514629,5
benefit,threshold,0.6154290961821239,8
benefit,transition,0.018673761297244455,5
benefit,vehicle,0.2945213761020225,8
benefit,walkable,0.36856901825059807,25
benefit,walking,0.2843769270302501,25
broader,community,0.17932701861206976,5
broader,critical,0.9280440503268255,6
broader,density,0.09358333670030285,8
broader,distance,0.39501771658064244,7
broader,environment,0.47931096197014567,14
broader,equitable,1.0494049073310932,5
broader,equity,1.4153391766826222,5
broader,focus,0.1659039982799289,5
broader,general,1.1511876016410354,5
broader,infrastructure,0.788282107951667,10
broader,intervention,0.9138594153348691,5
broader,mobility,0.552792720815158,8
broader,model,0.1940748752466253,12
broader,need,0.21136637235668645,9
broader,objective,0.6439397992229288,5
broader,offer,0.7945126577023031,6
broader,policy,0.34822555507388364,14
broader,public,0.2712645139377552,12
broader,reduced,1.6211912308867709,5
broader,show,0.026142055904770065,6
broader,spatial,0.23787749790501805,12
broader,walkable,0.6493306478578053,8
broader,walking,0.27745648418567603,6
broader,within,0.12668328512664764,10
building,concentration,0.5602245418350281,8
building,consideration,0.5030661279950794,8
building,density,0.14306339396367249,40
building,develop,0.5096235285412385,17
building,dynamic,0.06123337571604026,8
building,environment,0.19231878261230262,50
building,facility,0.4442256279721461,22
building,focus,0.1745620610230435,24
building,higher,0.12007387573897377,20
building,identify,0.44072299742094395,19
building,inclusive,0.14392509156115363,9
building,infrastructure,0.25794366996209434,28
building,limitation,0.5602245418350281,8
building,lower,0.20159073341096265,12
building,market,0.24355493250999496,6
building,model,0.06123337571604026,50
building,older,0.39770561233725316,6
building,remains,0.5030661279950794,8
building,risk,0.08533092729510079,6
building,show,0.1084119359911307,31
building,site,0.1745620610230435,8
building,spatial,0.04316059465634577,47
building,strongly,0.8031707204454178,9
building,threshold,0.005663524561229709,5
building,zone,0.29234509667942693,9
community,demographic,0.5201189163777988,8
community,develop,0.4396649399343283,17
community,ensuring,0.49026595322811783,8
community,environment,0.3212110527505574,61
community,equitable,0.294957200907352,12
community,evaluates,0.2632085025927717,6
community,facility,0.27895685956091093,20
community,focus,0.1846461800896695,26
community,focused,0.09135824566611254,6
community,half,0.5508905750445526,5
community,higher,0.2324368439260179,24
community,identify,0.06538275926285192,14
community,inclusive,0.6493306478578053,16
community,increasingly,0.03294748350969781,7
