T1,T2,T3,T4,T5,T6,dominant_topic
0.5431688922623096,0.21657327563507506,0.0013336552826696837,0.15159690702648895,0.0013313684137482638,0.08599590137970851,T1
0.18482211678751526,0.0022071554438896227,0.0022103621337151253,0.8063338492689762,0.002215388494215288,0.002211127871688439,T4
0.9129081341831387,0.0013666600975998637,0.08162525453691107,0.001367973135680379,0.0013624469292802415,0.0013695311173898541,T1
0.15231853098305673,0.0013266324583107458,0.0013222624402596278,0.8423825247022791,0.001323691711059755,0.0013263577050339971,T4
0.4809792893398293,0.21073276543742023,0.0015810117061376724,0.19717693019424226,0.0015847283015076046,0.10794527502086294,T1
0.5384309470444014,0.0020017472577991153,0.002004874272227626,0.45355532219293915,0.002002443222655695,0.0020046660099769706,T1
0.4321217838399224,0.0011144636187038202,0.0011119754011200743,0.26265213588824726,0.0011114034878689676,0.3018882377641373,T1
0.8430446964812328,0.15115996438163304,0.0014467327820097268,0.0014465925792541195,0.0014548363584373383,0.0014471774174328934,T1
0.0013735047627367828,0.0013708607045493256,0.0013692406248530888,0.26429280644933245,0.0013712956885173536,0.730222291770011,T6
0.48226306261818064,0.3615362206267226,0.0012658393770277553,0.15240406654818883,0.001262659057300023,0.0012681517725802822,T1
0.6436933755308586,0.2569361861111451,0.03363580505162883,0.0012128799575185762,0.0012096523548575447,0.06331210099399137,T1
0.537606939006636,0.13833278439565044,0.267426914532563,0.001846567039734665,0.05293987160110449,0.0018469234243117195,T1
0.09319432623336538,0.0017408355122313973,0.0017337614643201723,0.8998606655152651,0.0017319877483739988,0.0017384235264438054,T4
0.0017465637686591767,0.0017306277467326327,0.2010596799752692,0.7920072442315916,0.0017259378035800394,0.0017299464741672597,T4
0.30783072495607045,0.001333077542463973,0.001338911072965171,0.6868289378018788,0.001329561512858248,0.001338787113763231,T4
0.109646764450073,0.6112541314413207,0.001526662589650542,0.0015255156337923908,0.0015187407482980808,0.2745281851368654,T2
0.90705788933572,0.001413782596798424,0.0014066931771163549,0.08730404002939268,0.0014055507594366795,0.0014120441015360616,T1
0.708560433748961,0.0014351953503091612,0.001435681165841914,0.2856994846503271,0.0014366306783107955,0.0014325744062499636,T1
0.0021853160796785963,0.07598552005945337,0.0021789521482718233,0.9152943102232965,0.002179415866194587,0.002176485623105085,T4
0.2115839078703368,0.30114274900485377,0.2148153707300978,0.24236411462718233,0.0009125461257945368,0.029181311641734854,T2
0.443024699172435,0.12554876646264804,0.08960005800959102,0.2965026435678437,0.04342303991053259,0.0019007928769496699,T1
0.23751077642430282,0.364662523001973,0.0931568439089389,0.30172196174898375,0.0014748850768900423,0.0014730098389114758,T2
0.6802815457908269,0.0014411756828266596,0.09576299535522954,0.18433381274155877,0.0014371183335200716,0.036743352096038184,T1
0.0014322246438400763,0.45810865780811655,0.0014239067448951431,0.5361932283243149,0.001422054979456305,0.0014199274993770313,T4
0.4590191738103016,0.2204194138713251,0.0012679266391347262,0.16129995132647293,0.15672975810401432,0.0012637762487512805,T1
0.6262087757288757,0.19292239698643143,0.11777742333886035,0.05919162147670143,0.0019485689870195131,0.0019512134821116015,T1
0.20864952158127376,0.0013030343124248319,0.0013146931010231092,0.5198100465516883,0.03655614092442774,0.2323665635291623,T4
0.0016987499394865446,0.0017012273420577368,0.707410623730841,0.12220763108382666,0.0016967739600842512,0.16528499394370375,T3
0.05523012341447752,0.07713494323054812,0.0016489967066124426,0.6712611558441527,0.11866782664076884,0.07605695416344019,T4
0.5453113414964925,0.4466719624149259,0.0020160697259424556,0.00200140641499855,0.0019986644527138025,0.002000555494926648,T1
0.0951425544682885,0.0011951151360154286,0.0011907592908382558,0.2071022883115988,0.007715446387171273,0.6876538364060878,T6
0.6663552215384025,0.1653836701379629,0.0010417490527042318,0.16512077409057718,0.001043101368588099,0.0010554838117651172,T1
0.18464146670910173,0.001389838050520973,0.0013852312697915526,0.5541120280196907,0.0013868221297159045,0.25708461382117914,T4
0.29529783973747215,0.0009983589058949814,0.07093922422975787,0.0009994701512688554,0.012206817008655522,0.6195582899669507,T6
